org_uuid,org_name,type,parent_uuid,parent_name
2ceaf8fa-beee-653d-84e5-047fd512c2cd,Cellware,organization,23cd1b3a-7248-7e4f-ba6b-fced845e0598,Bidtellect
47ab0bb3-afe3-3bd4-cf50-f834a5a15f06,HomeAway,organization,66fae545-244a-d1a2-fc77-ac9b849e6538,Expedia
29c943e0-e915-c7ac-7e1e-d4c17e07415f,Paramount Pictures,organization,4522b60d-0b04-827e-2b6c-6eaf236cf636,VIACOM PARAMOUNT on contract at CBS PARAMOUNT+
4b7b9111-5919-bfd8-a11f-436585c61cde,Calista Technologies,organization,fd80725f-53fc-7009-9878-aeecf1e9ffbb,Microsoft
c5aaf1a1-a6f6-9852-03ec-3248ccdd41ce,Market Hardware,organization,cd233e49-7a12-4f3f-8b00-090c002d5308,EverCommerce
d8562056-9ac7-752a-dffe-b045808be0c0,Kaplan,organization,b66e044b-41d9-44f9-c5b6-b39dddf04670,Graham Holdings
9004f081-50bb-9e35-9f92-d12432420fb8,StubHub,organization,e56b0ceb-bb30-bbec-805e-d5dc7412dcb1,eBay
e83b8f68-8bc9-6b56-220c-0ffbd470b931,Dell,organization,65aa5969-848e-4f37-9287-d320365935ea,Dell Technologies
481bc6f0-f082-929f-aae3-d2fb02a162bd,Flurry,organization,7c28cb05-95bc-4b84-98b1-88064eee80f4,Verizon Media
354d9012-b362-9a54-37c2-328b9fbe41da,National Geographic,organization,756936c0-c335-f0ae-0a3d-fe26bdff5695,The Walt Disney Company
1966bb69-4bc9-1077-c181-fe3d67509160,Pobts,organization,0e17d1a2-1f8c-728a-14d3-2a535f59c281,Prosus & Naspers
22875f87-0660-82e3-330f-01b7853e99f9,QVC,organization,148d24a5-c367-925e-8b99-3671d280f9bf,Qurate Retail
7b23c3e3-1e26-562a-8e84-fec1cbc5b472,Napster,organization,b1c5d726-1242-7ae0-98d3-71e4f0c6578d,Best Buy
a98539e6-4bde-261f-b46e-5ed0cd298f23,Central Desktop,organization,814d79bd-fffa-2a11-c255-5f3438e93ba2,"iMeet, Inc."
95fb57bf-8924-664b-b454-d0f22781382d,Reuters,organization,af1cb234-2108-fc02-272a-5ade65278655,Thomson Reuters
a9b18f40-1b7b-9cd2-f902-9578935759e2,Move,organization,7103e064-eb56-1aeb-af09-2a4d53d03e16,News Corp
a2cd37ed-c40c-ca92-8736-f56d56632ff0,Fold3,organization,85459852-2f75-2bf9-bbe7-3df0e590e0a8,iArchives
bec019d5-9fb7-ef11-f7a4-80a900e92976,Sony Mobile Communications,organization,bf313e68-63a0-8281-a809-bc824b4c51f2,Sony
17f84917-5568-f1e2-508a-44c37b8070c8,LG Electronics,organization,77a5135e-9950-4abb-bd80-4baa135c470b,Chase Home Networking Inc
